Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
5843.599978,,,s,0.575439937,0.030937284,0.030937284,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
11763.60002,,,s,0.244343055,0.019437595,0.019437595,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
12066.59998,,,s,0.255858589,0.019266619,0.019266619,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
12369.60003,,,s,0.201372425,0.018562403,0.018562403,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
29912.09999,,,s,0.088715601,0.017921023,0.017921023,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
47261.09998,,,s,0.027289778,0.001996798,0.001996798,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
76511.60001,,,s,0.005345644,0.004399406,0.004399406,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
5228.600026,,,s,0.648634434,0.017677089,0.017677089,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
6664.599994,,,s,0.45289758,0.016381748,0.016381748,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
28814.10002,,,s,0.082413812,0.008826998,0.008826998,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
46161.10002,,,s,0.03801894,0.007819422,0.007819422,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
75991.59996,,,s,0.033419504,0.010928958,0.010928958,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
82540.09996,,,s,0.059156163,0.016694207,0.016694207,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
382344,,,s,0.006367955,0.00151507,0.00151507,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
5023.600042,,,s,0.591561634,0.016121697,0.016121697,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
6459.60001,,,s,0.432513831,0.011787203,0.011787203,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
18451.59998,,,s,0.110662378,0.005949524,0.005949524,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
18724.09997,,,s,0.101859139,0.00635988,0.00635988,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
28592.09997,,,s,0.063095734,0.00528613,0.00528613,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
45939.09997,,,s,0.029107171,0.004218598,0.004218598,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
75884.59996,,,s,0.03250873,0.0063269,0.0063269,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
82438.10001,,,s,0.015703628,0.005840833,0.005840833,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
382293,,,s,0.001721869,0.000655272,0.000655272,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
6253.600032,,,s,0.316227766,0.011438267,0.011438267,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
17845.59997,,,s,0.080167806,0.002899748,0.002899748,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
28262.10001,,,s,0.043651583,0.003287044,0.003287044,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
45608.10002,,,s,0.024660393,0.002580346,0.002580346,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
75727.60001,,,s,0.017864876,0.003276733,0.003276733,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
82288.60001,,,s,0.012823306,0.003095834,0.003095834,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
382233,,,s,0.001306171,0.00029226,0.00029226,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
6048.599962,,,s,0.328095293,0.014766721,0.014766721,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
12695.60002,,,s,0.105681751,0.006598556,0.006598556,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
16938.59999,,,s,0.077268059,0.003477635,0.003477635,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
30336.60004,,,s,0.034355795,0.003022938,0.003022938,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
47683.60004,,,s,0.017218686,0.002290742,0.002290742,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
76718.59998,,,s,0.009908319,0.00266396,0.00266396,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
382695,,,s,0.000440555,0.000256053,0.000256053,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
2101.199962,,,s,2.466039337,0.175171684,0.175171684,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
67991.99996,,,s,0.028575905,0.002273226,0.002273226,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
68963.99996,,,s,0.030199517,0.002145181,0.002145181,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
238686,,,s,0.005970353,0.000770393,0.000770393,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
27987.60004,,,s,0.092896639,0.00580028,0.00580028,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
29355.60001,,,s,0.081658237,0.006495948,0.006495948,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
33089.99999,,,s,0.071779429,0.002596332,0.002596332,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
34321.19999,,,s,0.064268772,0.007775074,0.007775074,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
203028,,,s,0.009120108,0.002982488,0.002982488,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
298200,,,s,0.004325138,7.89E-05,7.89E-05,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
451800,,,s,0.002511886,9.09E-05,9.09E-05,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
1632000,,,s,0.000559758,3.01E-05,3.01E-05,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
3232.999958,,,s,1.674942876,0.332177915,0.332177915,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
24499.20004,,,s,0.103752842,0.011707884,0.011707884,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
25188.59998,,,s,0.099083194,0.006186556,0.006186556,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
26588.39999,,,s,0.100925289,0.010560341,0.010560341,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
25878.59997,,,s,0.119124201,0.004308839,0.004308839,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
27314.40001,,,s,0.105681751,0.004756462,0.004756462,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
28683.59999,,,s,0.098174794,0.005278156,0.005278156,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
33694.20003,,,s,0.089536477,0.004029805,0.004029805,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
34874.40001,,,s,0.081658237,0.020844737,0.020844737,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
70487.99997,,,s,0.034040819,0.00123129,0.00123129,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
204762,,,s,0.010375284,0.001745499,0.001745499,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
245070,,,s,0.005395106,0.000989558,0.000989558,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
298200,,,s,0.005395106,9.85E-05,9.85E-05,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
451800,,,s,0.002910717,0.000105283,0.000105283,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
1632000,,,s,0.000887156,4.77E-05,4.77E-05,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
24742.8,,,s,0.124738351,0.009922989,0.009922989,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
3028.999968,,,s,1.584893192,0.266636454,0.266636454,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
0.9911,,,d,0.41,0.12,0.12,mJy,Spectral Flux,9.70E+10,,,Hz,W,,slop
3.9911,,,d,0.35,0.19,0.19,mJy,Spectral Flux,9.70E+10,,,Hz,W,,slop
7.9911,,,d,0.2,0.09,0.09,mJy,Spectral Flux,9.70E+10,,,Hz,W,,slop
100.0247,,,s,1.05E-07,1.13E-08,1.13E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
101.126,,,s,8.29E-08,9.21E-09,9.21E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
102.359,,,s,7.82E-08,8.56E-09,8.56E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
103.468,,,s,8.63E-08,9.57E-09,9.57E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
104.553,,,s,9.18E-08,1.01E-08,1.01E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
