Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
355.9000032,,,s,58.61381645,9.860967441,9.860967441,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
365.9000256,,,s,51.52286446,6.233106468,6.233106468,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
375.8999616,,,s,51.99959965,6.290780692,6.290780692,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
385.899984,,,s,49.20395357,5.552370344,5.552370344,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
395.9000064,,,s,44.05548635,4.427682925,4.427682925,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
405.9000288,,,s,43.65158322,4.387089684,4.387089684,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
415.8999648,,,s,39.08408958,3.602750656,3.602750656,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
425.8999872,,,s,39.08408958,3.602750656,3.602750656,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
435.9000096,,,s,34.67368505,2.904944339,2.904944339,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
445.900032,,,s,34.9945167,2.931823458,2.931823458,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
455.899968,,,s,34.67368505,2.904944339,2.904944339,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
465.8999904,,,s,34.04081897,2.851923129,2.851923129,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
475.9000128,,,s,31.6227766,2.381252823,2.381252823,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
485.9000352,,,s,31.33285724,2.359421366,2.359421366,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
