Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup
342.1000224,,,s,0.383730438,0.01767144,0.01767144,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
444.0999744,,,s,0.310474723,0.011438312,0.011438312,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
544.3000416,,,s,0.260631107,0.009602005,0.009602005,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
646.2999936,,,s,0.229100612,0.008440378,0.008440378,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
764.5999968,,,s,0.207026647,0.007627144,0.007627144,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
865.7000064,,,s,0.183664935,0.006766466,0.006766466,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
967.6999584,,,s,0.175398651,0.004846444,0.004846444,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1067.900026,,,s,0.162939451,0.006002911,0.006002911,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1239.000019,,,s,0.145890243,0.005374795,0.005374795,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1340.100029,,,s,0.139324101,0.00513289,0.00513289,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1439.399981,,,s,0.135527132,0.004993004,0.004993004,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1539.599962,,,s,0.128240809,0.004724566,0.004724566,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1681.300022,,,s,0.128240809,0.004724566,0.004724566,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1782.400032,,,s,0.12023371,0.00332218,0.00332218,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1883.500042,,,s,0.118039198,0.004348725,0.004348725,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
1986.299971,,,s,0.11588474,0.003202014,0.003202014,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2102.09999,,,s,0.112726559,0.004153,0.004153,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2204.100029,,,s,0.108649129,0.004002782,0.004002782,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2303.399981,,,s,0.106666059,0.003929723,0.003929723,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2406.199997,,,s,0.104719184,0.003857997,0.003857997,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2523.700022,,,s,0.101865295,0.003752856,0.003752856,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2623.999968,,,s,0.099089183,0.00365058,0.00365058,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2724.200035,,,s,0.099089183,0.00365058,0.00365058,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2826.100022,,,s,0.094629435,0.003486277,0.003486277,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
2942.799984,,,s,0.091206596,0.003360175,0.003360175,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3043.899994,,,s,0.090370409,0.002497027,0.002497027,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3144.099974,,,s,0.088720963,0.002451451,0.002451451,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3244.300042,,,s,0.088720963,0.003268601,0.003268601,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3356.599997,,,s,0.086303071,0.003179523,0.003179523,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3457.700006,,,s,0.085511839,0.003150373,0.003150373,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
3558.000038,,,s,0.083181404,0.003064516,0.003064516,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,g_host,slop
