Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
136.008288,,,s,0.61756842,0.19031546,0.19031546,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
148.017888,,,s,0.513671038,0.158297505,0.158297505,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
153.395856,,,s,0.337794053,0.115473901,0.115473901,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
160.027488,,,s,0.61756842,0.19031546,0.19031546,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
230.616288,,,s,0.417550569,0.058170956,0.058170956,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
271.224288,,,s,0.2999583,0.057414731,0.057414731,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
310.104288,,,s,0.184421372,0.05368859,0.05368859,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
349.848288,,,s,0.205984435,0.05323115,0.05323115,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
432.792288,,,s,0.338503064,0.035834544,0.035834544,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
532.152288,,,s,0.312187706,0.036152061,0.036152061,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
631.512288,,,s,0.37860351,0.034889654,0.034889654,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
704.088288,,,s,0.477261779,0.0573302,0.0573302,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
761.976288,,,s,0.495007341,0.034373706,0.034373706,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
861.336288,,,s,0.563736356,0.034087116,0.034087116,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
960.696288,,,s,0.54327561,0.03402558,0.03402558,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1060.056288,,,s,0.701133367,0.055787868,0.055787868,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1110.168288,,,s,0.567421866,0.025177759,0.025177759,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1299.384288,,,s,0.615801082,0.024303572,0.024303572,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1352.09615,,,s,0.736344081,0.130247201,0.130247201,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1416.024288,,,s,0.70725936,0.045893676,0.045893676,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1452.930739,,,s,0.524478392,0.076460064,0.076460064,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1487.736288,,,s,0.613439284,0.025727115,0.025727115,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1514.53152,,,s,0.223635528,0.027687773,0.027687773,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
1526.950829,,,s,0.589117603,0.131013029,0.131013029,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1626.743347,,,s,0.656559364,0.089532207,0.089532207,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1712.376288,,,s,0.65265712,0.040750601,0.040750601,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1726.200288,,,s,0.449630849,0.028074048,0.028074048,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
1774.584288,,,s,0.709063418,0.031913111,0.031913111,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1776.312288,,,s,0.562814342,0.020357544,0.020357544,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
1798.955914,,,s,0.456062118,0.087337832,0.087337832,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1837.656288,,,s,0.764672141,0.047744594,0.047744594,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
1860.691392,,,s,0.284512139,0.039650743,0.039650743,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
1874.774074,,,s,0.378451299,0.125517737,0.125517737,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1882.584288,,,s,0.464789277,0.020918963,0.020918963,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
1912.824288,,,s,0.685488226,0.036853793,0.036853793,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1947.384288,,,s,0.599190827,0.016329614,0.016329614,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
2097.720288,,,s,0.679203633,0.036515915,0.036515915,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2104.632288,,,s,0.43496679,0.023385049,0.023385049,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
2121.048288,,,s,0.664976846,0.041445412,0.041445412,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2170.296288,,,s,0.569069299,0.020583792,0.020583792,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
2212.632288,,,s,0.664790921,0.02992052,0.02992052,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2245.464288,,,s,0.861936492,0.038793533,0.038793533,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
2331.864288,,,s,0.696121552,0.031330631,0.031330631,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2333.592288,,,s,0.667102119,0.021825089,0.021825089,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2460.600288,,,s,0.420726628,0.015218093,0.015218093,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
2480.472288,,,s,0.698232404,0.025255748,0.025255748,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2523.672288,,,s,0.634313111,0.021944877,0.021944877,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2549.592288,,,s,0.441424161,0.015966743,0.015966743,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
2551.320288,,,s,0.677150307,0.030476784,0.030476784,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
